"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";12;"0.1uF";;;
2;"C13";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"10n";;;
3;"D1";"D_DO-201_P15.24mm_Horizontal";1;"1N5347B";;;
4;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"GREEN";;;
5;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"RED";;;
6;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"BLUE";;;
7;"IR1,IR2,IR3,IR4,IR5,IR6,IR7,IR8,IR9,IR10,IR11,IR12";"IR_TSOP93038_TH";12;"TSSP93038";;;
8;"J1";"PinSocket_1x02_P2.54mm_Vertical";1;"M1_ENOUT";;;
9;"J2";"PinSocket_1x06_P2.54mm_Vertical";1;"M1_IN";;;
10;"J3";"PinSocket_1x02_P2.54mm_Vertical";1;"M2_ENOUT";;;
11;"J4";"PinSocket_1x06_P2.54mm_Vertical";1;"M2_IN";;;
12;"J5";"PinSocket_1x02_P2.54mm_Vertical";1;"M3_ENOUT";;;
13;"J6";"PinSocket_1x06_P2.54mm_Vertical";1;"M3_IN";;;
14;"J7";"arduino_mega_header";1;"Arduino_Mega_Header";;;
15;"J8";"AMASS_XT60-M";1;"XT60-M";;;
16;"Q1";"TO-220-3_Vertical";1;"IRF9540N";;;
17;"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";12;"6k2";;;
18;"R13";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100k";;;
19;"R14,R15";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"680R";;;
20;"R16";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"180R";;;
21;"SW1,SW2,SW3";"PinSocket_1x03_P2.54mm_Vertical";3;"SS ESP101";;;
22;"U1,U2,U5";"U_TB6612FNG_MOD";3;"TB6612FNG_MOD";;;
23;"U3";"5V_D24V5F5_FP";1;"5V_D24V5F5";;;
24;"U4";"12_S18V20F12_FP";1;"12V_S18V20F12";;;
